Id,Company type,Description,Name,Site,Founded year,Twitter followers,Created at,Updated at,Hiring,Stage,Careers page,Crunchbase,Twitter,Investors,Size,Buzz,Strength,Employees,Previous employees,Total funding,Last funding,Last funding date,Category,Industry,Previous twitter followers,Blog,Teams,Growth,Logo,Hidden,Full description,Screenshot,Video
612,,Acquired by @Twitter in June 2013. Building the discovery engine for the social web.,Spindle,http://spindle.com,,572,2014-05-12 20:39:26 UTC,2014-05-12 20:39:51 UTC,false,Unattributed,http://spindle.com/careers,http://www.crunchbase.com/company/spindle,spindle,,0,0,0,0,0,2300000,2300000,2012-11-16,Wire service,News,0,http://blog.spindle.com,,0,7da88e8d397c827ac93d46e03f44510c_normal.jpeg,false,,http://api-images.crunchbase.com/assets/images/resized/0034/7205/347205v1-max-150x150.jpg,"<iframe width=""420"" height=""315"" src=""//www.youtube.com/embed/ThonCc7-YRk?feature=player_embedded"" frameborder=""0"" allowfullscreen></iframe>"
606,,Clarity makes it easy for you to get on a call with an expert to help you start or grow your business.  Calls completed every 7 seconds.,Clarity,http://clarity.fm,,10479,2014-05-12 20:39:26 UTC,2014-05-12 20:39:45 UTC,false,Seed,http://clarity.fm/careers,http://www.crunchbase.com/company/clarity-2,getmoreclarity,,0,0,0,0,0,1600000,1600000,2012-12-05,Digital,News,0,http://blog.clarity.fm/,,0,WoVkTnkH_normal.png,false,,http://api-images.crunchbase.com/assets/images/resized/0022/3967/223967v1-max-150x150.jpg,
607,,"Gumroad helps all types of creators earn a living selling what they make. 
Questions? @GumroadHelp or support@gumroad.com",Gumroad,http://gumroad.com,,12308,2014-05-12 20:39:26 UTC,2014-05-12 20:39:43 UTC,false,A,http://gumroad.com/careers,http://www.crunchbase.com/company/gumroad,gumroad,,0,0,0,0,0,8100000,7000000,2012-05-07,Magazine,News,0,http://blog.gumroad.com,,0,e756844eb9ee9eedcd37c2a3c94c812e_normal.png,false,,http://api-images.crunchbase.com/assets/images/resized/0017/6025/176025v2-max-150x150.png,"<iframe src=""http://player.vimeo.com/video/39302830?title=0&amp;byline=0&amp;portrait=0&amp;color=c04355"" width=""420"" height=""236"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>"
608,,DuckDuckGo is a search engine. We believe in better search and real privacy at the same time.,DuckDuckGo,http://duckduckgo.com,,29098,2014-05-12 20:39:26 UTC,2014-05-12 20:39:42 UTC,false,Unattributed,http://duckduckgo.com/careers,http://www.crunchbase.com/company/duck-duck-go,duckduckgo,,0,0,0,0,0,3000000,3000000,2011-10-13,Newspaper,News,0,,,0,128_chrome_radius_normal.png,false,,,
609,,Your source for all things custom. A marketplace dedicated to inspiring ideas & connecting individuals looking for one-of-a-kind creations with talented Makers.,CustomMade,http://www.custommade.com,,10094,2014-05-12 20:39:26 UTC,2014-05-12 20:39:48 UTC,false,B,http://www.custommade.com/careers,http://www.crunchbase.com/company/custommade-ventures,custommade,,0,0,0,0,0,25650000,18000000,2013-06-11,Tech-focus,News,0,http://blog.custommade.com/,,0,20a9ec03e38e4135c7ac11275f08e466_normal.png,false,,,
611,,https://t.co/8z9ApgF7sI,StoreEnvy,,,273,2014-05-12 20:39:26 UTC,2014-05-12 20:39:53 UTC,false,,,,Fashionslust,,0,0,0,0,0,0,0,,Television,News,0,,,0,liv-tyler-290-look-2_normal.jpg,false,,,
613,,Wanderfly is the best place to discover and share personalized travel recommendations.,Wanderfly,http://www.wanderfly.com,,2921,2014-05-12 20:39:26 UTC,2014-05-12 20:39:51 UTC,false,A,http://www.wanderfly.com/careers,http://www.crunchbase.com/company/wanderfly,wanderfly,,0,0,0,0,0,1400000,1000000,2011-02-01,Magazine,News,0,http://blog.wanderfly.com,,0,twitter_icon2_normal.png,false,,http://api-images.crunchbase.com/assets/images/resized/0015/9684/159684v2-max-150x150.jpg,
604,,Instant Opinions. Real People.,Thumb,http://www.thumb.it,,6620,2014-05-12 20:39:26 UTC,2014-05-12 20:39:43 UTC,false,Partial,http://www.thumb.it/careers,http://www.crunchbase.com/company/opinionaided,Thumb,,0,0,0,0,0,7240578,500578,2013-06-05,Wire service,News,0,,,0,Thumb_normal.jpg,false,,http://api-images.crunchbase.com/assets/images/resized/0012/5612/125612v2-max-150x150.png,"<iframe src=""http://player.vimeo.com/video/43576886?title=0&amp;byline=0&amp;portrait=0"" width=""420"" height=""315"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>"
605,,We're a user experience design and development agency with a focus on usability and clean code.,Lift,http://lift.gs,,341,2014-05-12 20:39:26 UTC,2014-05-12 20:39:42 UTC,false,A,http://lift.gs/careers,http://www.crunchbase.com/company/lift-ux,liftux,,0,0,0,0,0,2500000,2500000,2012-11-27,Digital,News,0,http://liftnotes.tumblr.com/,,0,F45j36OJ_normal.png,false,,,
610,,Order experiments from the world's best labs.,Science Exchange,http://scienceexchange.com,,3847,2014-05-12 20:39:26 UTC,2014-05-12 20:39:55 UTC,false,A,http://scienceexchange.com/careers,http://www.crunchbase.com/company/science-exchange,scienceexchange,,0,0,0,0,0,5500000,4000000,2013-05-10,Newspaper,News,0,http://blog.scienceexchange.com/,,0,FbpF64CY_normal.jpeg,false,,http://api-images.crunchbase.com/assets/images/resized/0039/3057/393057v1-max-150x150.png,"<iframe width=""420"" height=""315"" src=""http://www.youtube.com/embed/ZeGJk4PVB58"" frameborder=""0"" allowfullscreen></iframe>"
